"FP0.6","TP0.6","FN0.6","TN0.6","FP0.7","TP0.7","FN0.7","TN0.7","FP0.8","TP0.8","FN0.8","TN0.8","FP0.9","TP0.9","FN0.9","TN0.9","FP0.62","TP0.62","FN0.62","TN0.62","FP0.72","TP0.72","FN0.72","TN0.72","FP0.82","TP0.82","FN0.82","TN0.82","FP0.92","TP0.92","FN0.92","TN0.92","FP0.63","TP0.63","FN0.63","TN0.63","FP0.73","TP0.73","FN0.73","TN0.73","FP0.83","TP0.83","FN0.83","TN0.83","FP0.93","TP0.93","FN0.93","TN0.93","FP0.64","TP0.64","FN0.64","TN0.64","FP0.74","TP0.74","FN0.74","TN0.74","FP0.84","TP0.84","FN0.84","TN0.84","FP0.94","TP0.94","FN0.94","TN0.94","FP0.65","TP0.65","FN0.65","TN0.65","FP0.75","TP0.75","FN0.75","TN0.75","FP0.85","TP0.85","FN0.85","TN0.85","FP0.95","TP0.95","FN0.95","TN0.95","S1","S2","S3","S4","S5"
0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,22,4,1,973,22,4,1,973,22,4,1,973,22,4,1,973,3,2,3,992,3,2,3,992,0,2,3,995,0,2,3,995,1,1,4,994,1,1,4,994,0,1,4,995,0,1,4,995,0.217092533732877,0.742343377732834,0.871872253854452,0.427985649832861,0.237942905138194
0,3,2,995,0,3,2,995,0,2,3,995,0,2,3,995,0,3,2,995,0,2,3,995,0,2,3,995,0,2,3,995,24,4,1,971,24,4,1,971,24,4,1,971,24,4,1,971,2,1,4,993,1,1,4,994,0,1,4,995,0,1,4,995,4,1,4,991,2,1,4,993,0,1,4,995,0,1,4,995,0.179746214692878,0.764801678173485,0.890514033352129,0.340878413470559,0.244403642249115
0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,21,4,1,974,21,4,1,974,21,4,1,974,20,4,1,975,1,3,2,994,0,3,2,995,0,3,2,995,0,3,2,995,4,0,5,991,3,0,5,992,0,0,5,995,0,0,5,995,0.226866953955504,0.734921810235003,0.879005451888575,0.396713247818265,0.197223545423941
0,3,2,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,31,4,1,964,31,4,1,964,31,4,1,964,31,4,1,964,2,2,3,993,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0.181931823507308,0.824648704796307,0.941280493469627,0.330612208639615,0.257497390156122
0,1,4,995,0,1,4,995,0,1,4,995,0,0,5,995,1,2,3,994,1,2,3,994,1,2,3,994,0,2,3,995,23,4,1,972,23,4,1,972,23,4,1,972,23,4,1,972,0,2,3,995,0,1,4,995,0,1,4,995,0,1,4,995,1,2,3,994,1,1,4,994,1,1,4,994,0,1,4,995,0.274199937932277,0.779721452508397,0.91275505409164,0.447670866823216,0.216867192387703
1,3,2,994,0,2,3,995,0,2,3,995,0,2,3,995,1,3,2,994,1,3,2,994,1,2,3,994,1,2,3,994,37,4,1,958,37,4,1,958,37,4,1,958,37,4,1,958,3,3,2,992,0,3,2,995,0,3,2,995,0,3,2,995,2,2,3,993,1,1,4,994,0,1,4,995,0,1,4,995,0.16424325956569,0.750468758376365,0.975159821151637,0.279100154195824,0.235532891945266
0,4,1,995,0,3,2,995,0,3,2,995,0,3,2,995,1,3,2,994,0,3,2,995,0,3,2,995,0,3,2,995,13,4,1,982,13,4,1,982,13,4,1,982,13,4,1,982,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,1,2,3,994,1,2,3,994,0,2,3,995,0,1,4,995,0.21870346914267,0.714308548952592,0.786376143817925,0.355472555324646,0.244155829171827
0,1,4,995,0,1,4,995,0,1,4,995,0,0,5,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,21,4,1,974,21,4,1,974,21,4,1,974,21,4,1,974,1,1,4,994,1,1,4,994,1,1,4,994,0,1,4,995,3,1,4,992,3,1,4,992,0,0,5,995,0,0,5,995,0.220716914893478,0.801194305126545,0.868982013064933,0.495658217116926,0.210059460993334
0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,13,4,1,982,13,4,1,982,13,4,1,982,13,4,1,982,0,3,2,995,0,3,2,995,0,2,3,995,0,2,3,995,0,1,4,995,0,1,4,995,0,1,4,995,0,1,4,995,0.284949657587292,0.75463238453201,0.822912299057236,0.572909338384982,0.21942842175134
1,3,2,994,0,2,3,995,0,2,3,995,0,2,3,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,16,3,2,979,16,3,2,979,16,3,2,979,16,3,2,979,1,2,3,994,1,2,3,994,1,2,3,994,1,2,3,994,3,0,5,992,1,0,5,994,0,0,5,995,0,0,5,995,0.248346147237598,0.73795238899645,0.833538030585096,0.43249236280104,0.20434922964837
