"FP0.6","TP0.6","FN0.6","TN0.6","FP0.7","TP0.7","FN0.7","TN0.7","FP0.8","TP0.8","FN0.8","TN0.8","FP0.9","TP0.9","FN0.9","TN0.9","FP0.62","TP0.62","FN0.62","TN0.62","FP0.72","TP0.72","FN0.72","TN0.72","FP0.82","TP0.82","FN0.82","TN0.82","FP0.92","TP0.92","FN0.92","TN0.92","S1","S2"
54,4,1,941,36,4,1,959,19,4,1,976,7,3,2,988,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0.340440290711082,0.742343377732834
96,5,0,899,57,4,1,938,25,3,2,970,9,2,3,986,0,3,2,995,0,2,3,995,0,2,3,995,0,2,3,995,0.352245400493763,0.764801678173485
68,4,1,927,42,3,2,953,22,3,2,973,8,3,2,987,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0.333445333604005,0.734921810235003
79,3,2,916,46,2,3,949,24,2,3,971,8,2,3,987,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0.333620469484845,0.824648704796307
98,5,0,897,57,5,0,938,33,3,2,962,17,3,2,978,1,2,3,994,1,2,3,994,1,2,3,994,0,2,3,995,0.361954145379711,0.779721452508397
81,4,1,914,56,4,1,939,41,4,1,954,18,3,2,977,1,3,2,994,1,3,2,994,1,2,3,994,1,2,3,994,0.330919971413963,0.750468758376365
55,4,1,940,35,4,1,960,18,4,1,977,4,4,1,991,1,3,2,994,0,3,2,995,0,3,2,995,0,3,2,995,0.34486292092511,0.714308548952592
85,5,0,910,55,5,0,940,34,5,0,961,16,3,2,979,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0.364145256022443,0.801194305126545
70,4,1,925,53,4,1,942,23,4,1,972,11,4,1,984,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0.355908208026046,0.75463238453201
75,4,1,920,39,4,1,956,21,3,2,974,10,3,2,985,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0.359603364122823,0.73795238899645
83,5,0,912,54,3,2,941,34,3,2,961,15,3,2,980,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0.364562990028646,0.743203481268484
81,3,2,914,56,3,2,939,24,3,2,971,12,2,3,983,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0.338544137694625,0.834957433193198
55,4,1,940,36,4,1,959,18,4,1,977,4,3,2,991,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0.327034473212817,0.742638799046341
99,4,1,896,71,3,2,924,42,3,2,953,15,2,3,980,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0.377785646988245,0.84506032429502
41,4,1,954,29,4,1,966,17,4,1,978,4,3,2,991,0,4,1,995,0,4,1,995,0,4,1,995,0,4,1,995,0.304605319290296,0.670646062470798
69,5,0,926,45,5,0,950,27,3,2,968,18,3,2,977,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0.361031197990026,0.741083945632807
94,3,2,901,53,3,2,942,36,3,2,959,14,3,2,981,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0.3702359874551,0.781471859526443
80,3,2,915,58,3,2,937,27,3,2,968,11,2,3,984,1,2,3,994,1,2,3,994,1,2,3,994,0,2,3,995,0.380679694889101,0.777312804209633
104,4,1,891,69,4,1,926,46,4,1,949,22,3,2,973,1,1,4,994,1,1,4,994,1,1,4,994,1,1,4,994,0.392542457091759,0.820668702340515
65,4,1,930,30,4,1,965,16,4,1,979,9,3,2,986,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0.324873084045397,0.797943788277662
147,4,1,848,109,4,1,886,72,4,1,923,30,4,1,965,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0.389367625572617,0.762561427079895
102,5,0,893,64,5,0,931,42,5,0,953,17,5,0,978,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0.36530085732747,0.744952932668847
58,4,1,937,41,3,2,954,25,3,2,970,10,3,2,985,1,2,3,994,1,2,3,994,1,2,3,994,1,2,3,994,0.371010798693857,0.764655931775194
76,5,0,919,52,4,1,943,26,4,1,969,7,3,2,988,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0.360592068518888,0.760025057803007
66,1,4,929,42,1,4,953,23,1,4,972,4,1,4,991,1,2,3,994,1,2,3,994,1,2,3,994,1,1,4,994,0.418015481691841,0.683114183288037
71,5,0,924,40,4,1,955,22,4,1,973,9,2,3,986,1,2,3,994,1,2,3,994,1,2,3,994,1,2,3,994,0.329341311298887,0.752826802821653
