"FP0.6","TP0.6","FN0.6","TN0.6","FP0.7","TP0.7","FN0.7","TN0.7","FP0.8","TP0.8","FN0.8","TN0.8","FP0.9","TP0.9","FN0.9","TN0.9","FP0.62","TP0.62","FN0.62","TN0.62","FP0.72","TP0.72","FN0.72","TN0.72","FP0.82","TP0.82","FN0.82","TN0.82","FP0.92","TP0.92","FN0.92","TN0.92","S1","S2"
0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0.209968472231424,0.742343377732834
0,3,2,995,0,3,2,995,0,2,3,995,0,2,3,995,0,3,2,995,0,2,3,995,0,2,3,995,0,2,3,995,0.178919676897171,0.764801678173485
0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0.218049573114472,0.734921810235003
0,3,2,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0.185534605793329,0.824648704796307
0,1,4,995,0,1,4,995,0,1,4,995,0,0,5,995,1,2,3,994,1,2,3,994,1,2,3,994,0,2,3,995,0.239312469898607,0.779721452508397
1,3,2,994,0,2,3,995,0,2,3,995,0,2,3,995,1,3,2,994,1,3,2,994,1,2,3,994,1,2,3,994,0.171228677318643,0.750468758376365
0,4,1,995,0,3,2,995,0,3,2,995,0,3,2,995,1,3,2,994,0,3,2,995,0,3,2,995,0,3,2,995,0.220211367552913,0.714308548952592
0,4,1,995,0,3,2,995,0,3,2,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0.208555314896124,0.801194305126545
0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0.275448692555335,0.75463238453201
0,3,2,995,0,3,2,995,0,2,3,995,0,2,3,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0.23213139338134,0.73795238899645
0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0.205722187004839,0.743203481268484
1,2,3,994,1,2,3,994,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0.272478380373101,0.834957433193198
1,3,2,994,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0.205313597834142,0.742638799046341
0,3,2,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0.180445355995233,0.84506032429502
0,4,1,995,0,4,1,995,0,3,2,995,0,2,3,995,0,4,1,995,0,4,1,995,0,4,1,995,0,4,1,995,0.188268721259444,0.670646062470798
0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0.212252836496209,0.741083945632807
0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0.230613612821366,0.781471859526443
1,3,2,994,0,3,2,995,0,2,3,995,0,2,3,995,1,2,3,994,1,2,3,994,1,2,3,994,0,2,3,995,0.206515050663524,0.777312804209633
1,3,2,994,0,2,3,995,0,2,3,995,0,2,3,995,1,1,4,994,1,1,4,994,1,1,4,994,1,1,4,994,0.188946755202397,0.820668702340515
0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0.189130818675699,0.797943788277662
0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0.178919417752677,0.762561427079895
0,4,1,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0.195430907445231,0.744952932668847
2,3,2,993,0,3,2,995,0,3,2,995,0,3,2,995,1,2,3,994,1,2,3,994,1,2,3,994,1,2,3,994,0.240941327677955,0.764655931775194
0,2,3,995,0,2,3,995,0,2,3,995,0,1,4,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0.299377757799046,0.760025057803007
0,1,4,995,0,1,4,995,0,1,4,995,0,0,5,995,1,2,3,994,1,2,3,994,1,2,3,994,1,1,4,994,0.205409708066749,0.683114183288037
