"FP0.6","TP0.6","FN0.6","TN0.6","FP0.7","TP0.7","FN0.7","TN0.7","FP0.8","TP0.8","FN0.8","TN0.8","FP0.9","TP0.9","FN0.9","TN0.9","FP0.62","TP0.62","FN0.62","TN0.62","FP0.72","TP0.72","FN0.72","TN0.72","FP0.82","TP0.82","FN0.82","TN0.82","FP0.92","TP0.92","FN0.92","TN0.92","S1","S2"
1,3,2,994,1,3,2,994,1,3,2,994,1,3,2,994,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0.776020460898274,0.742343377732834
1,2,3,994,0,2,3,995,0,2,3,995,0,2,3,995,0,3,2,995,0,2,3,995,0,2,3,995,0,2,3,995,0.794189207914774,0.764801678173485
0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0.792108705750438,0.734921810235003
1,2,3,994,1,2,3,994,1,2,3,994,1,2,3,994,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0.747422254902095,0.824648704796307
2,2,3,993,2,2,3,993,2,2,3,993,2,2,3,993,1,2,3,994,1,2,3,994,1,2,3,994,0,2,3,995,0.739262747261915,0.779721452508397
1,3,2,994,1,3,2,994,1,3,2,994,1,3,2,994,1,3,2,994,1,3,2,994,1,2,3,994,1,2,3,994,0.747162767274,0.750468758376365
1,3,2,994,1,3,2,994,1,3,2,994,1,3,2,994,1,3,2,994,0,3,2,995,0,3,2,995,0,3,2,995,0.764029057766478,0.714308548952592
1,3,2,994,1,3,2,994,1,3,2,994,1,3,2,994,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0.767108582771151,0.801194305126545
0,4,1,995,0,4,1,995,0,4,1,995,0,4,1,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0.724534373594555,0.75463238453201
1,3,2,994,1,3,2,994,1,3,2,994,1,3,2,994,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0.763979563710098,0.73795238899645
1,3,2,994,1,3,2,994,1,3,2,994,1,3,2,994,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0.777411267936066,0.743203481268484
2,2,3,993,1,2,3,994,1,2,3,994,1,2,3,994,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0.750136954918223,0.834957433193198
1,3,2,994,1,3,2,994,1,3,2,994,1,3,2,994,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0.759831150326497,0.742638799046341
3,2,3,992,2,2,3,993,2,2,3,993,2,2,3,993,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0.713734711336195,0.84506032429502
1,3,2,994,1,3,2,994,1,3,2,994,1,3,2,994,0,4,1,995,0,4,1,995,0,4,1,995,0,4,1,995,0.739789471861129,0.670646062470798
1,3,2,994,1,3,2,994,1,3,2,994,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0.75401113805338,0.741083945632807
1,3,2,994,1,3,2,994,1,3,2,994,1,3,2,994,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0.787421700114685,0.781471859526443
2,2,3,993,2,2,3,993,2,2,3,993,2,2,3,993,1,2,3,994,1,2,3,994,1,2,3,994,0,2,3,995,0.724213045069141,0.777312804209633
3,1,4,992,2,1,4,993,2,1,4,993,2,1,4,993,1,1,4,994,1,1,4,994,1,1,4,994,1,1,4,994,0.728825947921424,0.820668702340515
1,2,3,994,1,2,3,994,1,2,3,994,1,2,3,994,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0.739680900714254,0.797943788277662
0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0.799164207469572,0.762561427079895
0,4,1,995,0,4,1,995,0,4,1,995,0,4,1,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0.730625872100129,0.744952932668847
2,2,3,993,2,2,3,993,2,2,3,993,2,2,3,993,1,2,3,994,1,2,3,994,1,2,3,994,1,2,3,994,0.792285874836297,0.764655931775194
1,3,2,994,0,3,2,995,0,3,2,995,0,3,2,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0.704706522388076,0.760025057803007
3,2,3,992,3,2,3,992,2,2,3,993,2,2,3,993,1,2,3,994,1,2,3,994,1,2,3,994,1,1,4,994,0.696913758233795,0.683114183288037
1,3,2,994,1,3,2,994,1,3,2,994,1,3,2,994,1,2,3,994,1,2,3,994,1,2,3,994,1,2,3,994,0.757593967152793,0.752826802821653
2,2,3,993,2,2,3,993,1,2,3,994,1,2,3,994,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0.77328625791979,0.825364387175515
1,3,2,994,1,3,2,994,1,3,2,994,1,3,2,994,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0.752857575881203,0.816460738095069
1,3,2,994,1,3,2,994,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,2,3,995,0,2,3,995,0.787043033815847,0.798237253913646
1,3,2,994,1,3,2,994,1,3,2,994,1,3,2,994,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0.7602020672207,0.73750664610472
2,2,3,993,2,2,3,993,2,2,3,993,2,2,3,993,0,3,2,995,0,3,2,995,0,2,3,995,0,2,3,995,0.804747641844078,0.701812878979558
0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0.802503512726597,0.748486179168144
1,3,2,994,1,3,2,994,1,3,2,994,1,3,2,994,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0.74272574199603,0.713899673770802
2,2,3,993,2,2,3,993,2,2,3,993,2,2,3,993,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0.721531838372682,0.77188398075564
0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0.784143916245887,0.754581234439791
1,2,3,994,1,2,3,994,1,2,3,994,1,2,3,994,1,2,3,994,1,2,3,994,1,2,3,994,1,2,3,994,0.82387214490014,0.7305710949469
0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0.800883082022169,0.758017351493149
