"FP0.6","TP0.6","FN0.6","TN0.6","FP0.7","TP0.7","FN0.7","TN0.7","FP0.8","TP0.8","FN0.8","TN0.8","FP0.9","TP0.9","FN0.9","TN0.9","FP0.62","TP0.62","FN0.62","TN0.62","FP0.72","TP0.72","FN0.72","TN0.72","FP0.82","TP0.82","FN0.82","TN0.82","FP0.92","TP0.92","FN0.92","TN0.92","FP0.63","TP0.63","FN0.63","TN0.63","FP0.73","TP0.73","FN0.73","TN0.73","FP0.83","TP0.83","FN0.83","TN0.83","FP0.93","TP0.93","FN0.93","TN0.93","FP0.64","TP0.64","FN0.64","TN0.64","FP0.74","TP0.74","FN0.74","TN0.74","FP0.84","TP0.84","FN0.84","TN0.84","FP0.94","TP0.94","FN0.94","TN0.94","FP0.65","TP0.65","FN0.65","TN0.65","FP0.75","TP0.75","FN0.75","TN0.75","FP0.85","TP0.85","FN0.85","TN0.85","FP0.95","TP0.95","FN0.95","TN0.95","S1","S2","S3","S4","S5"
1,4,1,74,1,4,1,74,0,4,1,75,0,4,1,75,0,4,1,75,0,4,1,75,0,4,1,75,0,4,1,75,3,3,2,72,3,3,2,72,1,3,2,74,1,3,2,74,0,5,0,75,0,5,0,75,0,5,0,75,0,5,0,75,18,4,1,57,12,4,1,63,6,4,1,69,0,4,1,75,0.423360938121104,0.692034940663661,0.813204459184765,0.678637945234148,0.5772517803743
1,4,1,74,0,4,1,75,0,4,1,75,0,4,1,75,0,4,1,75,0,4,1,75,0,4,1,75,0,4,1,75,2,4,1,73,2,3,2,73,1,3,2,74,1,3,2,74,0,5,0,75,0,5,0,75,0,5,0,75,0,5,0,75,59,4,1,16,55,4,1,20,48,3,2,27,45,3,2,30,0.34935727698554,0.67628020433301,0.74513183792469,0.636254604300623,0.422882656419199
3,4,1,72,1,4,1,74,1,4,1,74,0,4,1,75,3,4,1,72,2,4,1,73,2,4,1,73,1,4,1,74,73,5,0,2,72,5,0,3,72,5,0,3,72,5,0,3,1,5,0,74,0,5,0,75,0,5,0,75,0,5,0,75,35,3,2,40,30,3,2,45,15,3,2,60,1,3,2,74,0.425234519301251,0.660859813587209,0.708618839053621,0.632276674410037,0.498762063564246
2,4,1,73,1,3,2,74,1,3,2,74,0,3,2,75,4,4,1,71,2,3,2,73,1,3,2,74,1,3,2,74,4,4,1,71,4,4,1,71,3,4,1,72,2,3,2,73,0,5,0,75,0,5,0,75,0,5,0,75,0,5,0,75,61,4,1,14,53,4,1,22,43,4,1,32,38,4,1,37,0.336776803355181,0.697866821275233,0.673828798244503,0.635712024887163,0.403274407429182
2,4,1,73,0,4,1,75,0,4,1,75,0,3,2,75,1,4,1,74,0,4,1,75,0,4,1,75,0,4,1,75,2,5,0,73,2,5,0,73,2,4,1,73,2,4,1,73,0,5,0,75,0,5,0,75,0,5,0,75,0,5,0,75,58,5,0,17,53,5,0,22,41,5,0,34,35,5,0,40,0.256157150893993,0.639462749018169,0.805576983053816,0.653183481609083,0.421273516065228
9,3,2,66,4,3,2,71,2,3,2,73,1,3,2,74,2,3,2,73,2,3,2,73,2,3,2,73,1,3,2,74,2,3,2,73,2,3,2,73,2,3,2,73,1,3,2,74,0,5,0,75,0,5,0,75,0,5,0,75,0,5,0,75,57,4,1,18,48,4,1,27,42,4,1,33,37,4,1,38,0.254869783733229,0.696460638151316,0.795133686512369,0.672710318400522,0.432830712263774
6,4,1,69,5,4,1,70,3,4,1,72,0,4,1,75,1,4,1,74,1,4,1,74,1,4,1,74,0,4,1,75,3,3,2,72,3,3,2,72,3,3,2,72,2,3,2,73,0,5,0,75,0,5,0,75,0,5,0,75,0,5,0,75,30,4,1,45,28,4,1,47,21,4,1,54,7,4,1,68,0.299357064620195,0.677886224339085,0.784705318546183,0.628341762849987,0.43496906831317
2,4,1,73,0,4,1,75,0,4,1,75,0,4,1,75,3,4,1,72,1,4,1,74,1,4,1,74,1,4,1,74,4,3,2,71,2,3,2,73,2,3,2,73,2,2,3,73,0,5,0,75,0,5,0,75,0,5,0,75,0,5,0,75,19,3,2,56,14,3,2,61,5,2,3,70,0,2,3,75,0.398734897379854,0.628550753802358,0.727505305943426,0.637701601186886,0.461640970980598
3,4,1,72,1,4,1,74,1,4,1,74,0,4,1,75,1,5,0,74,1,5,0,74,1,5,0,74,0,4,1,75,74,5,0,1,74,5,0,1,74,5,0,1,73,5,0,2,0,5,0,75,0,5,0,75,0,5,0,75,0,5,0,75,55,5,0,20,43,5,0,32,39,5,0,36,34,5,0,41,0.360810388684911,0.688675253088113,0.847747983622051,0.65184250495725,0.429560885860096
0,1,4,75,0,1,4,75,0,1,4,75,0,1,4,75,1,4,1,74,1,4,1,74,1,4,1,74,0,4,1,75,1,4,1,74,1,4,1,74,1,4,1,74,0,4,1,75,0,5,0,75,0,5,0,75,0,5,0,75,0,5,0,75,32,4,1,43,29,4,1,46,21,4,1,54,1,4,1,74,0.588248118850074,0.635908928292291,0.835966533554992,0.651652189752117,0.393417461234918
