"FP0.6","TP0.6","FN0.6","TN0.6","FP0.7","TP0.7","FN0.7","TN0.7","FP0.8","TP0.8","FN0.8","TN0.8","FP0.9","TP0.9","FN0.9","TN0.9","FP0.62","TP0.62","FN0.62","TN0.62","FP0.72","TP0.72","FN0.72","TN0.72","FP0.82","TP0.82","FN0.82","TN0.82","FP0.92","TP0.92","FN0.92","TN0.92","FP0.63","TP0.63","FN0.63","TN0.63","FP0.73","TP0.73","FN0.73","TN0.73","FP0.83","TP0.83","FN0.83","TN0.83","FP0.93","TP0.93","FN0.93","TN0.93","FP0.64","TP0.64","FN0.64","TN0.64","FP0.74","TP0.74","FN0.74","TN0.74","FP0.84","TP0.84","FN0.84","TN0.84","FP0.94","TP0.94","FN0.94","TN0.94","FP0.65","TP0.65","FN0.65","TN0.65","FP0.75","TP0.75","FN0.75","TN0.75","FP0.85","TP0.85","FN0.85","TN0.85","FP0.95","TP0.95","FN0.95","TN0.95","S1","S2","S3","S4","S5"
1,3,2,994,1,3,2,994,0,3,2,995,0,2,3,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,23,4,1,972,23,4,1,972,23,4,1,972,23,4,1,972,2,3,2,993,1,3,2,994,0,3,2,995,0,3,2,995,2,1,4,993,1,1,4,994,0,1,4,995,0,1,4,995,0.30532811198964,0.710762112850886,0.835909522910754,0.313978246385057,0.22819831798208
0,1,4,995,0,1,4,995,0,1,4,995,0,1,4,995,0,4,1,995,0,4,1,995,0,4,1,995,0,4,1,995,10,5,0,985,10,5,0,985,10,5,0,985,10,5,0,985,2,4,1,993,2,4,1,993,0,4,1,995,0,4,1,995,0,1,4,995,0,1,4,995,0,1,4,995,0,1,4,995,0.53988180625414,0.678441016469184,0.759312432084482,0.398306504304463,0.223163157254669
0,4,1,995,0,4,1,995,0,4,1,995,0,4,1,995,0,4,1,995,0,4,1,995,0,4,1,995,0,4,1,995,13,5,0,982,13,5,0,982,13,5,0,982,13,5,0,982,1,4,1,994,1,4,1,994,0,4,1,995,0,4,1,995,3,0,5,992,2,0,5,993,0,0,5,995,0,0,5,995,0.253360487494416,0.715934736944986,0.787829301277634,0.377583630374949,0.182505130541242
0,2,3,995,0,2,3,995,0,2,3,995,0,1,4,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,23,5,0,972,23,5,0,972,23,5,0,972,23,5,0,972,1,2,3,994,1,2,3,994,1,2,3,994,1,2,3,994,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0.318377904871974,0.799111859263274,0.8721953880343,0.659512423451498,0.242936886914741
0,1,4,995,0,1,4,995,0,1,4,995,0,0,5,995,0,4,1,995,0,4,1,995,0,4,1,995,0,4,1,995,8,5,0,987,8,5,0,987,8,5,0,987,8,5,0,987,2,4,1,993,1,4,1,994,1,4,1,994,0,4,1,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0.791104235548681,0.729348591483002,0.76008975480785,0.521620778901347,0.268690430203853
0,4,1,995,0,4,1,995,0,4,1,995,0,4,1,995,0,4,1,995,0,4,1,995,0,4,1,995,0,4,1,995,11,5,0,984,11,5,0,984,11,5,0,984,11,5,0,984,1,4,1,994,1,4,1,994,0,4,1,995,0,4,1,995,2,2,3,993,1,2,3,994,0,2,3,995,0,2,3,995,0.327771714335243,0.707147260753377,0.766220279036436,0.57892883984516,0.228348531048478
0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,14,5,0,981,14,5,0,981,14,5,0,981,14,5,0,981,2,4,1,993,2,4,1,993,0,3,2,995,0,3,2,995,1,2,3,994,1,1,4,994,1,1,4,994,0,1,4,995,0.661651950108276,0.748404616639004,0.777114131723102,0.321359245210881,0.220421787043068
0,2,3,995,0,1,4,995,0,1,4,995,0,1,4,995,0,4,1,995,0,4,1,995,0,4,1,995,0,4,1,995,16,5,0,979,16,5,0,979,16,5,0,979,16,5,0,979,3,4,1,992,1,4,1,994,1,4,1,994,1,4,1,994,2,2,3,993,0,2,3,995,0,2,3,995,0,1,4,995,0.545717692525529,0.71295968406811,0.804237056044549,0.469304499133985,0.212002113398795
0,2,3,995,0,1,4,995,0,1,4,995,0,1,4,995,0,3,2,995,0,3,2,995,0,3,2,995,0,2,3,995,26,5,0,969,26,5,0,969,26,5,0,969,26,5,0,969,161,2,3,834,102,2,3,893,42,2,3,953,15,2,3,980,1,1,4,994,0,1,4,995,0,1,4,995,0,1,4,995,0.457125189409915,0.737892619382337,0.882310928130781,0.435176521728356,0.216303299483032
0,1,4,995,0,1,4,995,0,1,4,995,0,1,4,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,10,5,0,985,10,5,0,985,10,5,0,985,10,5,0,985,1,4,1,994,0,4,1,995,0,4,1,995,0,4,1,995,1,0,5,994,1,0,5,994,1,0,5,994,0,0,5,995,0.706964167983796,0.716154953662433,0.76503471607879,0.481119884902797,0.192669870244795
