"FP0.6","TP0.6","FN0.6","TN0.6","FP0.7","TP0.7","FN0.7","TN0.7","FP0.8","TP0.8","FN0.8","TN0.8","FP0.9","TP0.9","FN0.9","TN0.9","FP0.62","TP0.62","FN0.62","TN0.62","FP0.72","TP0.72","FN0.72","TN0.72","FP0.82","TP0.82","FN0.82","TN0.82","FP0.92","TP0.92","FN0.92","TN0.92","FP0.63","TP0.63","FN0.63","TN0.63","FP0.73","TP0.73","FN0.73","TN0.73","FP0.83","TP0.83","FN0.83","TN0.83","FP0.93","TP0.93","FN0.93","TN0.93","S1","S2","S3"
0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0.752323802115544,0.742343377732834,0.743278878558952
0,3,2,995,0,2,3,995,0,2,3,995,0,2,3,995,0,3,2,995,0,2,3,995,0,2,3,995,0,2,3,995,0,3,2,995,0,2,3,995,0,2,3,995,0,2,3,995,0.769753907695253,0.764801678173485,0.772946792518497
0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0.747953621372979,0.734921810235003,0.734921810235003
0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0.804783025165055,0.824648704796307,0.82086177541632
1,2,3,994,1,2,3,994,1,2,3,994,0,2,3,995,1,2,3,994,1,2,3,994,1,2,3,994,0,2,3,995,1,2,3,994,1,2,3,994,1,2,3,994,0,2,3,995,0.786676660180533,0.779721452508397,0.77995717059025
1,3,2,994,1,3,2,994,1,2,3,994,1,2,3,994,1,3,2,994,1,3,2,994,1,2,3,994,1,2,3,994,1,3,2,994,1,3,2,994,1,2,3,994,1,2,3,994,0.741285910414209,0.750468758376365,0.741410712194036
1,3,2,994,0,3,2,995,0,3,2,995,0,3,2,995,1,3,2,994,0,3,2,995,0,3,2,995,0,3,2,995,1,3,2,994,0,3,2,995,0,3,2,995,0,3,2,995,0.709545702031047,0.714308548952592,0.713630523515565
1,2,3,994,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,1,2,3,994,0,2,3,995,0,2,3,995,0,2,3,995,0.775434996380977,0.801194305126545,0.767135645151394
0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0.753631162906549,0.75463238453201,0.75463238453201
0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0.72880005061523,0.73795238899645,0.73795238899645
