"FP0.6","TP0.6","FN0.6","TN0.6","FP0.7","TP0.7","FN0.7","TN0.7","FP0.8","TP0.8","FN0.8","TN0.8","FP0.9","TP0.9","FN0.9","TN0.9","FP0.62","TP0.62","FN0.62","TN0.62","FP0.72","TP0.72","FN0.72","TN0.72","FP0.82","TP0.82","FN0.82","TN0.82","FP0.92","TP0.92","FN0.92","TN0.92","S1","S2"
2,1,4,993,1,1,4,994,1,1,4,994,1,0,5,994,2,3,2,993,2,3,2,993,1,3,2,994,1,2,3,994,0.326725075585683,0.796310605090162
4,1,4,991,3,0,5,992,1,0,5,994,1,0,5,994,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0.392668539264965,0.843497257326827
2,1,4,993,2,1,4,993,2,1,4,993,2,0,5,993,2,3,2,993,2,3,2,993,2,3,2,993,2,2,3,993,0.464539541721852,0.850537620396355
2,0,5,993,2,0,5,993,0,0,5,995,0,0,5,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0.365174861550836,0.837071277229187
3,1,4,992,3,1,4,992,1,1,4,994,1,1,4,994,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0.477611172649667,0.834365441603527
3,0,5,992,2,0,5,993,0,0,5,995,0,0,5,995,3,2,3,992,3,2,3,992,2,2,3,993,1,2,3,994,0.334328026338372,0.812963444512203
2,2,3,993,2,2,3,993,1,1,4,994,1,0,5,994,3,2,3,992,2,2,3,993,2,2,3,993,1,2,3,994,0.435294215754717,0.755439949603072
2,1,4,993,2,1,4,993,2,1,4,993,1,1,4,994,2,2,3,993,2,2,3,993,2,2,3,993,2,2,3,993,0.440770886089703,0.782246336699065
2,2,3,993,2,1,4,993,2,1,4,993,1,0,5,994,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0.395446036166134,0.832897924665645
2,1,4,993,2,1,4,993,2,1,4,993,1,1,4,994,0,3,2,995,0,3,2,995,0,3,2,995,0,2,3,995,0.37807221535909,0.865178523065614
2,0,5,993,2,0,5,993,1,0,5,994,1,0,5,994,2,3,2,993,2,3,2,993,2,2,3,993,2,2,3,993,0.323481103227424,0.804770684115365
1,2,3,994,1,2,3,994,1,1,4,994,1,1,4,994,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0.522962691976777,0.828364569500345
1,1,4,994,1,1,4,994,1,1,4,994,0,0,5,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0.323747457728258,0.869848632110912
2,0,5,993,2,0,5,993,1,0,5,994,1,0,5,994,2,2,3,993,2,2,3,993,2,2,3,993,2,2,3,993,0.324288919797488,0.814912948581291
2,0,5,993,1,0,5,994,1,0,5,994,0,0,5,995,2,2,3,993,2,2,3,993,1,2,3,994,0,2,3,995,0.244447790647095,0.686021952156702
2,0,5,993,2,0,5,993,1,0,5,994,0,0,5,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0.323624650138981,0.825014579606568
2,2,3,993,2,1,4,993,2,1,4,993,1,1,4,994,2,3,2,993,2,3,2,993,2,3,2,993,2,3,2,993,0.514347147291404,0.826227643426514
2,1,4,993,2,1,4,993,2,1,4,993,2,0,5,993,3,2,3,992,2,2,3,993,2,2,3,993,2,2,3,993,0.456174905783075,0.823734189613291
2,1,4,993,2,1,4,993,2,1,4,993,2,0,5,993,2,1,4,993,1,1,4,994,1,1,4,994,1,1,4,994,0.39381003576822,0.827575808902028
2,1,4,993,1,1,4,994,1,1,4,994,1,0,5,994,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0.438851339986555,0.819363033682934
2,0,5,993,2,0,5,993,2,0,5,993,1,0,5,994,2,3,2,993,2,3,2,993,2,2,3,993,2,2,3,993,0.30950128524402,0.82993939819776
2,1,4,993,2,1,4,993,1,1,4,994,1,1,4,994,2,3,2,993,2,3,2,993,1,3,2,994,1,2,3,994,0.314532522217124,0.792593671277577
4,1,4,991,2,1,4,993,1,1,4,994,0,1,4,995,1,2,3,994,1,2,3,994,1,2,3,994,0,2,3,995,0.45508687151818,0.805881345558312
