"FP0.6","TP0.6","FN0.6","TN0.6","FP0.7","TP0.7","FN0.7","TN0.7","FP0.8","TP0.8","FN0.8","TN0.8","FP0.9","TP0.9","FN0.9","TN0.9","FP0.62","TP0.62","FN0.62","TN0.62","FP0.72","TP0.72","FN0.72","TN0.72","FP0.82","TP0.82","FN0.82","TN0.82","FP0.92","TP0.92","FN0.92","TN0.92","S1","S2"
2,1,4,993,1,1,4,994,1,1,4,994,0,1,4,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0.281594105767043,0.809699907956484
3,1,4,992,2,0,5,993,2,0,5,993,1,0,5,994,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0.281940830776787,0.804067909997097
2,2,3,993,2,1,4,993,2,1,4,993,1,0,5,994,2,3,2,993,2,3,2,993,2,3,2,993,2,3,2,993,0.43615874658103,0.834683406532567
1,2,3,994,1,0,5,994,0,0,5,995,0,0,5,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0.294221013600309,0.853789509240781
2,1,4,993,2,1,4,993,1,1,4,994,1,1,4,994,1,2,3,994,1,2,3,994,0,2,3,995,0,2,3,995,0.41102660872923,0.788780387588766
3,1,4,992,1,1,4,994,0,0,5,995,0,0,5,995,1,3,2,994,1,2,3,994,1,2,3,994,1,2,3,994,0.286048369027225,0.822261032803959
1,2,3,994,1,2,3,994,1,2,3,994,1,0,5,994,1,3,2,994,0,3,2,995,0,3,2,995,0,3,2,995,0.379524789759316,0.760382518356505
2,1,4,993,2,1,4,993,2,1,4,993,1,1,4,994,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0.347518593734914,0.826338887147055
2,2,3,993,2,2,3,993,1,1,4,994,1,1,4,994,0,3,2,995,0,3,2,995,0,3,2,995,0,2,3,995,0.416375176041784,0.820243665146389
2,1,4,993,2,1,4,993,2,1,4,993,0,1,4,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0.328280400146248,0.819624029707205
2,1,4,993,1,0,5,994,1,0,5,994,0,0,5,995,2,3,2,993,2,3,2,993,2,3,2,993,0,3,2,995,0.272120217590082,0.794626110062801
1,2,3,994,1,2,3,994,1,2,3,994,1,1,4,994,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0.357983825264668,0.863842945309189
1,2,3,994,1,2,3,994,1,1,4,994,0,1,4,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0.37346533224938,0.837180403887214
2,1,4,993,2,0,5,993,1,0,5,994,1,0,5,994,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0.328906716546084,0.861166959906164
1,1,4,994,1,0,5,994,0,0,5,995,0,0,5,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0.205000738223372,0.682152884750522
2,0,5,993,1,0,5,994,1,0,5,994,0,0,5,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0.262961759265825,0.82792903242404
2,2,3,993,1,2,3,994,1,1,4,994,0,1,4,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0.412309052740616,0.820981528229417
2,2,3,993,2,1,4,993,2,1,4,993,2,1,4,993,1,2,3,994,1,2,3,994,1,2,3,994,1,2,3,994,0.410289602967289,0.806314172129544
2,1,4,993,2,1,4,993,2,1,4,993,1,0,5,994,1,1,4,994,1,1,4,994,1,1,4,994,1,1,4,994,0.274796930708548,0.813038038468925
1,1,4,994,1,1,4,994,1,1,4,994,1,1,4,994,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0.346484938513931,0.82455469828104
2,0,5,993,2,0,5,993,2,0,5,993,1,0,5,994,2,3,2,993,2,3,2,993,2,3,2,993,1,3,2,994,0.281989934798913,0.824340984839778
2,1,4,993,1,1,4,994,1,1,4,994,0,1,4,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0.278820272025334,0.80670725079254
4,1,4,991,1,1,4,994,1,1,4,994,0,1,4,995,1,2,3,994,1,2,3,994,1,2,3,994,1,2,3,994,0.364384195009401,0.795366251253031
2,1,4,993,1,1,4,994,1,1,4,994,1,1,4,994,0,3,2,995,0,2,3,995,0,2,3,995,0,2,3,995,0.296255140166453,0.788667904218752
2,1,4,993,1,1,4,994,0,1,4,995,0,1,4,995,1,2,3,994,1,2,3,994,1,2,3,994,0,1,4,995,0.330792172464175,0.682844307884038
2,0,5,993,2,0,5,993,1,0,5,994,0,0,5,995,1,2,3,994,1,2,3,994,1,2,3,994,1,2,3,994,0.198961179922361,0.811983182878877
2,1,4,993,1,1,4,994,1,1,4,994,0,0,5,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0.310581159065873,0.863668384982662
0,1,4,995,0,1,4,995,0,1,4,995,0,0,5,995,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0.294772086527832,0.790248187773798
2,2,3,993,1,2,3,994,0,1,4,995,0,1,4,995,0,3,2,995,0,3,2,995,0,2,3,995,0,2,3,995,0.339297484704826,0.812481505363297
2,1,4,993,2,1,4,993,0,0,5,995,0,0,5,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0.226022401049642,0.80553428920381
3,1,4,992,3,1,4,992,3,0,5,992,2,0,5,993,3,2,3,992,3,2,3,992,3,2,3,992,2,1,4,993,0.397042518468685,0.679565739330339
1,1,4,994,1,1,4,994,0,1,4,995,0,1,4,995,0,3,2,995,0,3,2,995,0,3,2,995,0,3,2,995,0.304630853472134,0.760299769882116
2,2,3,993,1,1,4,994,1,1,4,994,0,0,5,995,2,3,2,993,2,3,2,993,2,3,2,993,1,3,2,994,0.359750595150421,0.816728907443814
1,1,4,994,1,1,4,994,1,1,4,994,1,0,5,994,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0.265172189614221,0.825889826823712
2,2,3,993,2,1,4,993,1,1,4,994,1,1,4,994,0,2,3,995,0,2,3,995,0,2,3,995,0,2,3,995,0.324413112891499,0.76729519533558
